"","num_attributes","defense","tpr"
"455",7550,"noise",0.36
"456",7550,"subsample",0.29
"457",7600,"round",0.65
"458",7600,"noise",0.31
"459",7600,"subsample",0.29
"460",7650,"round",0.75
"461",7650,"noise",0.36
"462",7650,"subsample",0.29
"463",7700,"round",0.77
"464",7700,"noise",0.36
"465",7700,"subsample",0.29
"466",7750,"round",0.68
"467",7750,"noise",0.36
"468",7750,"subsample",0.29
"469",7800,"round",0.73
"470",7800,"noise",0.44
"471",7800,"subsample",0.29
"472",7850,"round",0.75
"473",7850,"noise",0.36
"474",7850,"subsample",0.29
"475",7900,"round",0.64
"476",7900,"noise",0.36
"477",7900,"subsample",0.29
"478",7950,"round",0.68
"479",7950,"noise",0.36
"480",7950,"subsample",0.29
"481",8000,"round",0.76
"482",8000,"noise",0.36
"483",8000,"subsample",0.29
"484",8050,"round",0.72
"485",8050,"noise",0.36
"486",8050,"subsample",0.29
"487",8100,"round",0.75
"488",8100,"noise",0.36
"489",8100,"subsample",0.29
"490",8150,"round",0.71
"491",8150,"noise",0.36
"492",8150,"subsample",0.29
"493",8200,"round",0.73
"494",8200,"noise",0.36
"495",8200,"subsample",0.29
"496",8250,"round",0.68
"497",8250,"noise",0.36
"498",8250,"subsample",0.29
"499",8300,"round",0.69
"500",8300,"noise",0.36
"501",8300,"subsample",0.29
"502",8350,"round",0.7
"503",8350,"noise",0.36
"504",8350,"subsample",0.29
"505",8400,"round",0.74
"506",8400,"noise",0.36
"507",8400,"subsample",0.29
"508",8450,"round",0.76
"509",8450,"noise",0.36
"510",8450,"subsample",0.29
"511",8500,"round",0.74
"512",8500,"noise",0.36
"513",8500,"subsample",0.29
"514",8550,"round",0.74
"515",8550,"noise",0.36
"516",8550,"subsample",0.29
"517",8600,"round",0.66
"518",8600,"noise",0.36
"519",8600,"subsample",0.29
"520",8650,"round",0.72
"521",8650,"noise",0.36
"522",8650,"subsample",0.29
"523",8700,"round",0.68
"524",8700,"noise",0.36
"525",8700,"subsample",0.29
"526",8750,"round",0.72
"527",8750,"noise",0.36
"528",8750,"subsample",0.29
"529",8800,"round",0.69
"530",8800,"noise",0.36
"531",8800,"subsample",0.29
"532",8850,"round",0.72
"533",8850,"noise",0.36
"534",8850,"subsample",0.29
"535",8900,"round",0.79
"536",8900,"noise",0.36
"537",8900,"subsample",0.29
"538",8950,"round",0.71
"539",8950,"noise",0.36
"540",8950,"subsample",0.29
"541",9000,"round",0.71
"542",9000,"noise",0.4
"543",9000,"subsample",0.29
"544",9050,"round",0.66
"545",9050,"noise",0.36
"546",9050,"subsample",0.29
"547",9100,"round",0.67
"548",9100,"noise",0.36
"549",9100,"subsample",0.29
"550",9150,"round",0.78
"551",9150,"noise",0.4
"552",9150,"subsample",0.29
"553",9200,"round",0.69
"554",9200,"noise",0.36
"555",9200,"subsample",0.29
"556",9250,"round",0.69
"557",9250,"noise",0.36
"558",9250,"subsample",0.29
"559",9300,"round",0.72
"560",9300,"noise",0.36
"561",9300,"subsample",0.29
"562",9350,"round",0.75
"563",9350,"noise",0.4
"564",9350,"subsample",0.29
"565",9400,"round",0.66
"566",9400,"noise",0.36
"567",9400,"subsample",0.29
"568",9450,"round",0.77
"569",9450,"noise",0.4
"570",9450,"subsample",0.29
"571",9500,"round",0.77
"572",9500,"noise",0.36
"573",9500,"subsample",0.29
"574",9550,"round",0.75
"575",9550,"noise",0.4
"576",9550,"subsample",0.29
"577",9600,"round",0.66
"578",9600,"noise",0.4
"579",9600,"subsample",0.29
"580",9650,"round",0.67
"581",9650,"noise",0.4
"582",9650,"subsample",0.29
"583",9700,"round",0.67
"584",9700,"noise",0.4
"585",9700,"subsample",0.29
"586",9750,"round",0.77
"587",9750,"noise",0.42
"588",9750,"subsample",0.29
"589",9800,"round",0.66
"590",9800,"noise",0.36
"591",9800,"subsample",0.29
"592",9850,"round",0.68
"593",9850,"noise",0.42
"594",9850,"subsample",0.29
"595",9900,"round",0.66
"596",9900,"noise",0.36
"597",9900,"subsample",0.29
"598",9950,"round",0.74
"599",9950,"noise",0.36
"600",9950,"subsample",0.29
"601",10000,"round",0.66
"602",10000,"noise",0.4
"603",10000,"subsample",0.29
